,Region,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
2015-02-01,Florida,13,34,44,43,62,0,26,4,14,39,1,39,1,39,0,39,0,39,1,39,0,39,0,39,0,39,0,69,1,69,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,44,2,44,2,44,0,44,1,44,1,44,0,44,0,44,0,44,0,57,7,57,6,57,1,57,2,57,4,57,0,57,1,57,0,57,0
2015-03-01,Florida,13,46,35,48,64,0,37,0,9,39,1,39,1,39,0,39,0,39,1,39,0,39,0,39,0,39,0,64,1,64,1,64,0,64,0,64,0,64,0,64,0,64,0,64,0,39,2,39,3,39,0,39,1,39,1,39,0,39,0,39,0,39,0,56,7,56,9,56,1,56,3,56,4,56,0,56,2,56,0,56,0
2015-04-01,Florida,17,43,56,50,79,0,33,27,13,41,1,41,1,41,0,41,0,41,1,41,0,41,0,41,0,41,0,64,1,64,1,64,0,64,0,64,1,64,0,64,0,64,0,64,0,42,3,42,2,42,0,42,1,42,1,42,0,42,0,42,0,42,0,64,10,64,8,64,1,64,3,64,5,64,0,64,2,64,0,64,0
2015-05-01,Florida,13,32,47,49,62,10,27,0,14,44,1,44,1,44,0,44,0,44,1,44,0,44,0,44,0,44,0,62,1,62,1,62,0,62,0,62,0,62,0,62,0,62,0,62,0,39,2,39,2,39,0,39,1,39,1,39,0,39,0,39,0,39,0,56,7,56,6,56,1,56,3,56,4,56,0,56,1,56,0,56,0
2015-06-01,Florida,8,26,22,26,44,0,28,4,24,43,1,43,1,43,0,43,0,43,0,43,0,43,0,43,0,43,0,67,1,67,1,67,0,67,0,67,0,67,0,67,0,67,0,67,0,33,1,33,1,33,0,33,0,33,1,33,0,33,0,33,0,33,0,57,4,57,5,57,0,57,1,57,3,57,0,57,1,57,0,57,0
2015-07-01,Florida,6,17,15,23,33,0,26,13,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,30,1,30,1,30,0,30,0,30,1,30,0,30,0,30,0,30,0,58,3,58,3,58,0,58,1,58,2,58,0,58,1,58,0,58,0
2015-08-01,Florida,5,20,20,20,47,0,33,6,4,41,0,41,1,41,0,41,0,41,0,41,0,41,0,41,0,41,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,34,1,34,1,34,0,34,0,34,1,34,0,34,0,34,0,34,0,53,3,53,4,53,0,53,1,53,3,53,0,53,2,53,0,53,0
2015-09-01,Florida,11,36,27,26,70,0,32,9,20,41,1,41,1,41,0,41,0,41,1,41,0,41,0,41,0,41,0,67,1,67,1,67,0,67,0,67,1,67,0,67,0,67,0,67,0,38,2,38,2,38,0,38,0,38,1,38,0,38,0,38,0,38,0,56,6,56,7,56,0,56,1,56,4,56,0,56,1,56,0,56,0
2015-10-01,Florida,13,35,40,45,54,0,36,3,4,40,1,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,69,1,69,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,37,2,37,2,37,0,37,1,37,1,37,0,37,0,37,0,37,0,63,7,63,7,63,1,63,2,63,3,63,0,63,2,63,0,63,0
2015-11-01,Florida,15,55,43,36,66,0,32,19,33,36,1,36,1,36,0,36,0,36,1,36,0,36,0,36,0,36,0,66,1,66,1,66,0,66,0,66,0,66,0,66,0,66,0,66,0,34,2,34,3,34,0,34,1,34,1,34,0,34,0,34,0,34,0,56,8,56,10,56,1,56,2,56,4,56,0,56,1,56,0,56,0
2015-12-01,Florida,17,49,38,43,43,8,29,12,8,33,1,33,1,33,0,33,0,33,0,33,0,33,0,33,0,33,0,61,1,61,1,61,0,61,0,61,0,61,0,61,0,61,0,61,0,27,3,27,3,27,0,27,1,27,1,27,0,27,0,27,0,27,0,48,10,48,9,48,1,48,2,48,3,48,0,48,1,48,0,48,0
2016-01-01,Florida,11,34,42,36,54,13,25,9,23,38,1,38,1,38,0,38,0,38,0,38,0,38,0,38,0,38,0,67,1,67,1,67,0,67,0,67,0,67,0,67,0,67,0,67,0,31,2,31,2,31,0,31,1,31,1,31,0,31,0,31,0,31,0,52,6,52,6,52,1,52,2,52,3,52,0,52,1,52,0,52,0
2016-02-01,Florida,11,36,39,40,51,0,34,9,24,37,1,37,1,37,0,37,0,37,0,37,0,37,0,37,0,37,0,65,1,65,1,65,0,65,0,65,0,65,0,65,0,65,0,65,0,34,2,34,2,34,0,34,1,34,1,34,0,34,0,34,0,34,0,55,6,55,7,55,1,55,2,55,3,55,0,55,2,55,0,55,0
2016-03-01,Florida,12,40,32,44,54,12,28,2,25,37,1,37,1,37,0,37,0,37,0,37,0,37,0,37,0,37,0,62,1,62,1,62,0,62,0,62,0,62,0,62,0,62,0,62,0,33,2,33,2,33,0,33,1,33,1,33,0,33,0,33,0,33,0,55,7,55,7,55,1,55,2,55,3,55,0,55,1,55,0,55,0
2016-04-01,Florida,15,48,52,54,60,0,25,2,12,39,1,39,1,39,0,39,0,39,0,39,0,39,0,39,0,39,0,64,1,64,1,64,0,64,0,64,0,64,0,64,0,64,0,64,0,36,2,36,3,36,0,36,1,36,1,36,0,36,0,36,0,36,0,59,8,59,9,59,1,59,3,59,4,59,0,59,1,59,0,59,0
2016-05-01,Florida,11,34,27,47,43,7,29,2,24,42,1,42,1,42,0,42,0,42,0,42,0,42,0,42,0,42,0,63,1,63,1,63,0,63,0,63,0,63,0,63,0,63,0,63,0,31,2,31,2,31,0,31,1,31,1,31,0,31,0,31,0,31,0,53,6,53,6,53,0,53,2,53,3,53,0,53,1,53,0,53,0
2016-06-01,Florida,6,19,15,31,42,0,31,12,3,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,26,1,26,1,26,0,26,0,26,1,26,0,26,0,26,0,26,0,53,4,53,3,53,0,53,2,53,2,53,0,53,1,53,0,53,0
2016-07-01,Florida,5,18,20,27,36,0,17,5,6,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,26,1,26,1,26,0,26,0,26,1,26,0,26,0,26,0,26,0,49,3,49,3,49,0,49,1,49,2,49,0,49,1,49,0,49,0
2016-08-01,Florida,7,18,18,32,54,7,23,0,6,38,1,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,65,1,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,29,1,29,1,29,0,29,0,29,1,29,0,29,0,29,0,29,0,47,4,47,3,47,0,47,2,47,3,47,0,47,1,47,0,47,0
2016-09-01,Florida,9,34,27,34,66,0,30,5,18,39,1,39,1,39,0,39,0,39,1,39,0,39,0,39,0,39,0,64,1,64,1,64,0,64,0,64,0,64,0,64,0,64,0,64,0,31,1,31,2,31,0,31,1,31,1,31,0,31,0,31,0,31,0,52,5,52,6,52,0,52,2,52,4,52,0,52,1,52,0,52,0
2016-10-01,Florida,10,43,42,35,51,6,34,7,18,35,1,35,1,35,0,35,0,35,0,35,0,35,0,35,0,35,0,61,1,61,1,61,0,61,0,61,0,61,0,61,0,61,0,61,0,29,2,29,2,29,0,29,1,29,1,29,0,29,0,29,0,29,0,52,6,52,8,52,1,52,2,52,3,52,0,52,2,52,0,52,0
2016-11-01,Florida,16,68,49,49,55,19,30,7,6,34,1,34,2,34,0,34,0,34,0,34,0,34,0,34,0,34,0,61,1,61,2,61,0,61,0,61,0,61,0,61,0,61,0,61,0,32,3,32,4,32,0,32,1,32,1,32,0,32,0,32,0,32,0,51,9,51,13,51,1,51,3,51,3,51,0,51,1,51,0,51,0
2016-12-01,Florida,13,45,37,53,44,6,29,15,6,31,1,31,1,31,0,31,0,31,0,31,0,31,0,31,0,31,0,58,1,58,1,58,0,58,0,58,0,58,0,58,0,58,0,58,0,24,2,24,2,24,0,24,1,24,1,24,0,24,0,24,0,24,0,50,7,50,8,50,1,50,3,50,3,50,0,50,1,50,0,50,0
2017-01-01,Florida,10,49,49,44,56,11,33,12,26,38,1,38,1,38,0,38,0,38,0,38,0,38,0,38,0,38,0,69,1,69,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,37,2,37,3,37,0,37,1,37,1,37,0,37,0,37,0,37,0,50,6,50,9,50,1,50,2,50,3,50,0,50,1,50,0,50,0
2017-02-01,Florida,12,43,43,50,61,0,36,6,30,36,1,36,1,36,0,36,0,36,1,36,0,36,0,36,0,36,0,65,1,65,1,65,0,65,0,65,0,65,0,65,0,65,0,65,0,42,2,42,2,42,0,42,1,42,1,42,0,42,0,42,0,42,0,53,7,53,8,53,1,53,3,53,4,53,0,53,2,53,0,53,0
2017-03-01,Florida,12,46,56,60,59,0,37,9,20,37,1,37,1,37,0,37,0,37,0,37,0,37,0,37,0,37,0,69,1,69,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,37,2,37,2,37,0,37,1,37,1,37,0,37,0,37,0,37,0,55,7,55,9,55,1,55,3,55,3,55,0,55,2,55,0,55,0
2017-04-01,Florida,15,52,54,68,66,6,28,6,19,38,1,38,1,38,0,38,1,38,1,38,0,38,0,38,0,38,0,66,1,66,1,66,0,66,0,66,0,66,0,66,0,66,0,66,0,34,2,34,3,34,0,34,1,34,1,34,0,34,0,34,0,34,0,55,8,55,10,55,1,55,4,55,4,55,0,55,1,55,0,55,0
2017-05-01,Florida,11,46,32,51,37,6,27,11,11,40,1,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,67,1,67,1,67,0,67,0,67,0,67,0,67,0,67,0,67,0,31,2,31,2,31,0,31,1,31,1,31,0,31,0,31,0,31,0,55,6,55,8,55,1,55,3,55,2,55,0,55,1,55,0,55,0
2017-06-01,Florida,11,69,31,32,38,0,24,13,6,38,1,38,2,38,0,38,0,38,0,38,0,38,0,38,0,38,0,66,1,66,2,66,0,66,0,66,0,66,0,66,0,66,0,66,0,24,2,24,4,24,0,24,0,24,1,24,0,24,0,24,0,24,0,54,6,54,13,54,1,54,2,54,2,54,0,54,1,54,0,54,0
2017-07-01,Florida,7,24,10,26,32,6,30,15,8,38,1,38,1,38,0,38,0,38,0,38,0,38,0,38,0,38,0,65,0,65,1,65,0,65,0,65,0,65,0,65,0,65,0,65,0,23,1,23,1,23,0,23,0,23,1,23,0,23,0,23,0,23,0,53,4,53,4,53,0,53,1,53,2,53,0,53,1,53,0,53,0
2017-08-01,Florida,7,25,24,32,51,6,21,8,8,40,1,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,68,1,68,1,68,0,68,0,68,0,68,0,68,0,68,0,68,0,28,1,28,1,28,0,28,0,28,1,28,0,28,0,28,0,28,0,50,4,50,5,50,0,50,2,50,3,50,0,50,1,50,0,50,0
2017-09-01,Florida,15,51,33,28,60,6,19,9,14,33,1,33,1,33,0,33,0,33,0,33,0,33,0,33,0,33,0,55,1,55,1,55,0,55,0,55,0,55,0,55,0,55,0,55,0,23,2,23,3,23,0,23,0,23,1,23,0,23,0,23,0,23,0,41,8,41,9,41,1,41,1,41,4,41,0,41,1,41,0,41,0
2017-10-01,Florida,12,41,47,46,67,6,28,2,13,36,1,36,1,36,0,36,0,36,1,36,0,36,0,36,0,36,0,68,1,68,1,68,0,68,0,68,1,68,0,68,0,68,0,68,0,29,2,29,2,29,0,29,1,29,1,29,0,29,0,29,0,29,0,55,7,55,8,55,1,55,2,55,4,55,0,55,1,55,0,55,0
2017-11-01,Florida,10,37,49,44,59,12,25,8,11,35,1,35,1,35,0,35,0,35,0,35,0,35,0,35,0,35,0,66,1,66,1,66,0,66,0,66,0,66,0,66,0,66,0,66,0,26,2,26,2,26,0,26,1,26,1,26,0,26,0,26,0,26,0,51,6,51,7,51,1,51,2,51,3,51,0,51,1,51,0,51,0
2017-12-01,Florida,12,36,54,38,40,17,29,22,11,30,1,30,1,30,0,30,0,30,0,30,0,30,0,30,0,30,0,60,1,60,1,60,0,60,0,60,0,60,0,60,0,60,0,60,0,21,2,21,2,21,0,21,1,21,1,21,0,21,0,21,0,21,0,45,7,45,7,45,1,45,2,45,2,45,0,45,1,45,0,45,0
2018-01-01,Florida,14,33,33,39,55,5,21,17,10,36,1,36,1,36,0,36,0,36,0,36,0,36,0,36,0,36,0,69,1,69,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,27,2,27,2,27,0,27,1,27,1,27,0,27,0,27,0,27,0,47,8,47,6,47,1,47,2,47,3,47,0,47,1,47,0,47,0
2018-02-01,Florida,9,35,33,55,60,6,21,2,22,34,1,34,1,34,0,34,0,34,0,34,0,34,0,34,0,34,0,69,1,69,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,29,2,29,2,29,0,29,1,29,1,29,0,29,0,29,0,29,0,52,5,52,6,52,1,52,3,52,4,52,0,52,1,52,0,52,0
2018-03-01,Florida,8,33,46,56,46,5,31,6,10,34,1,34,1,34,0,34,0,34,0,34,0,34,0,34,0,34,0,62,1,62,1,62,0,62,0,62,0,62,0,62,0,62,0,62,0,28,1,28,2,28,0,28,1,28,1,28,0,28,0,28,0,28,0,52,4,52,6,52,1,52,3,52,3,52,0,52,1,52,0,52,0
2018-04-01,Florida,12,49,73,75,61,11,31,10,20,37,1,37,1,37,0,37,1,37,1,37,0,37,0,37,0,37,0,67,1,67,1,67,0,67,1,67,0,67,0,67,0,67,0,67,0,34,2,34,3,34,0,34,1,34,1,34,0,34,0,34,0,34,0,53,7,53,9,53,1,53,4,53,4,53,0,53,1,53,0,53,0
2018-05-01,Florida,7,29,53,46,53,16,24,6,15,38,1,38,1,38,0,38,0,38,0,38,0,38,0,38,0,38,0,65,1,65,1,65,0,65,0,65,0,65,0,65,0,65,0,65,0,28,1,28,2,28,0,28,1,28,1,28,0,28,0,28,0,28,0,46,4,46,5,46,1,46,2,46,3,46,0,46,1,46,0,46,0
2018-06-01,Florida,5,19,24,21,43,6,24,16,5,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,23,1,23,1,23,0,23,0,23,1,23,0,23,0,23,0,23,0,48,3,48,4,48,0,48,1,48,3,48,0,48,1,48,0,48,0
2018-07-01,Florida,5,21,16,23,38,6,20,8,13,40,0,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,23,1,23,1,23,0,23,0,23,1,23,0,23,0,23,0,23,0,51,3,51,4,51,0,51,1,51,2,51,0,51,1,51,0,51,0
2018-08-01,Florida,6,23,12,30,69,6,20,4,10,38,0,38,1,38,0,38,0,38,1,38,0,38,0,38,0,38,0,70,0,70,1,70,0,70,0,70,1,70,0,70,0,70,0,70,0,29,1,29,1,29,0,29,0,29,1,29,0,29,0,29,0,29,0,48,3,48,4,48,0,48,2,48,4,48,0,48,1,48,0,48,0
2018-09-01,Florida,8,32,29,35,70,6,25,16,18,37,1,37,1,37,0,37,0,37,1,37,0,37,0,37,0,37,0,68,1,68,1,68,0,68,0,68,1,68,0,68,0,68,0,68,0,32,1,32,2,32,0,32,1,32,1,32,0,32,0,32,0,32,0,51,5,51,6,51,0,51,2,51,4,51,0,51,1,51,0,51,0
2018-10-01,Florida,10,57,56,43,61,5,34,11,13,35,1,35,1,35,0,35,0,35,1,35,0,35,0,35,0,35,0,71,1,71,1,71,0,71,0,71,0,71,0,71,0,71,0,71,0,32,2,32,3,32,0,32,1,32,1,32,0,32,0,32,0,32,0,50,6,50,11,50,1,50,2,50,4,50,0,50,2,50,0,50,0
2018-11-01,Florida,12,57,75,42,50,6,25,10,21,32,1,32,1,32,0,32,0,32,0,32,0,32,0,32,0,32,0,68,1,68,1,68,0,68,0,68,0,68,0,68,0,68,0,68,0,27,2,27,3,27,0,27,1,27,1,27,0,27,0,27,0,27,0,49,7,49,11,49,1,49,2,49,3,49,0,49,1,49,0,49,0
2018-12-01,Florida,9,40,43,46,45,6,29,2,18,29,1,29,1,29,0,29,0,29,0,29,0,29,0,29,0,29,0,60,1,60,1,60,0,60,0,60,0,60,0,60,0,60,0,60,0,22,1,22,2,22,0,22,1,22,1,22,0,22,0,22,0,22,0,45,5,45,7,45,1,45,2,45,3,45,0,45,1,45,0,45,0
2019-01-01,Florida,13,37,48,51,52,0,31,9,17,36,1,36,1,36,0,36,0,36,0,36,0,36,0,36,0,36,0,74,1,74,1,74,0,74,0,74,0,74,0,74,0,74,0,74,0,38,2,38,2,38,0,38,1,38,1,38,0,38,0,38,0,38,0,51,8,51,7,51,1,51,3,51,3,51,0,51,1,51,0,51,0
2019-02-01,Florida,10,53,64,43,60,6,38,12,18,34,1,34,1,34,0,34,0,34,0,34,0,34,0,34,0,34,0,72,1,72,1,72,0,72,0,72,0,72,0,72,0,72,0,72,0,37,2,37,3,37,0,37,1,37,1,37,0,37,0,37,0,37,0,51,6,51,10,51,1,51,2,51,4,51,0,51,2,51,0,51,0
2019-03-01,Florida,9,52,62,52,53,5,26,4,19,33,1,33,1,33,0,33,0,33,0,33,0,33,0,33,0,33,0,67,1,67,1,67,0,67,0,67,0,67,0,67,0,67,0,67,0,31,2,31,3,31,0,31,1,31,1,31,0,31,0,31,0,31,0,50,5,50,10,50,1,50,3,50,3,50,0,50,1,50,0,50,0
2019-04-01,Florida,14,66,100,78,73,17,30,17,23,36,1,36,2,36,0,36,1,36,1,36,0,36,0,36,0,36,0,74,1,74,2,74,0,74,1,74,1,74,0,74,0,74,0,74,0,35,2,35,4,35,0,35,1,35,1,35,0,35,0,35,0,35,0,52,8,52,12,52,2,52,4,52,4,52,0,52,1,52,0,52,0
2019-05-01,Florida,12,47,49,52,62,0,25,4,18,38,1,38,1,38,0,38,0,38,1,38,0,38,0,38,0,38,0,70,1,70,1,70,0,70,0,70,0,70,0,70,0,70,0,70,0,31,2,31,3,31,0,31,1,31,1,31,0,31,0,31,0,31,0,48,7,48,9,48,1,48,3,48,4,48,0,48,1,48,0,48,0
2019-06-01,Florida,7,32,23,26,45,6,25,14,0,37,1,37,1,37,0,37,0,37,0,37,0,37,0,37,0,37,0,70,0,70,1,70,0,70,0,70,0,70,0,70,0,70,0,70,0,22,1,22,2,22,0,22,0,22,1,22,0,22,0,22,0,22,0,48,4,48,6,48,0,48,1,48,3,48,0,48,1,48,0,48,0
2019-07-01,Florida,8,37,27,22,39,0,27,0,8,36,1,36,1,36,0,36,0,36,0,36,0,36,0,36,0,36,0,72,1,72,1,72,0,72,0,72,0,72,0,72,0,72,0,72,0,22,1,22,2,22,0,22,0,22,1,22,0,22,0,22,0,22,0,49,4,49,7,49,0,49,1,49,2,49,0,49,1,49,0,49,0
2019-08-01,Florida,8,44,28,25,62,0,23,9,5,46,1,46,1,46,0,46,0,46,1,46,0,46,0,46,0,46,0,73,1,73,1,73,0,73,0,73,0,73,0,73,0,73,0,73,0,30,1,30,2,30,0,30,0,30,1,30,0,30,0,30,0,30,0,42,4,42,8,42,0,42,1,42,4,42,0,42,1,42,0,42,0
2019-09-01,Florida,13,100,61,36,79,11,24,9,15,100,1,100,3,100,0,100,0,100,1,100,0,100,0,100,0,100,0,71,1,71,2,71,0,71,0,71,1,71,0,71,0,71,0,71,0,34,2,34,5,34,0,34,1,34,1,34,0,34,0,34,0,34,0,47,7,47,18,47,1,47,2,47,5,47,0,47,1,47,0,47,0
2019-10-01,Florida,10,64,60,48,67,25,28,14,16,36,1,36,2,36,0,36,0,36,1,36,0,36,0,36,0,36,0,76,1,76,2,76,0,76,0,76,1,76,0,76,0,76,0,76,0,37,2,37,3,37,0,37,1,37,1,37,0,37,0,37,0,37,0,48,6,48,12,48,1,48,3,48,4,48,0,48,1,48,0,48,0
2019-11-01,Florida,11,62,58,47,58,10,28,5,17,31,1,31,2,31,0,31,0,31,0,31,0,31,0,31,0,31,0,72,1,72,1,72,0,72,0,72,0,72,0,72,0,72,0,72,0,26,2,26,3,26,0,26,1,26,1,26,0,26,0,26,0,26,0,46,6,46,11,46,1,46,2,46,3,46,0,46,1,46,0,46,0
2019-12-01,Florida,8,47,46,48,48,10,16,5,14,27,1,27,1,27,0,27,0,27,0,27,0,27,0,27,0,27,0,62,1,62,1,62,0,62,0,62,0,62,0,62,0,62,0,62,0,22,1,22,3,22,0,22,1,22,1,22,0,22,0,22,0,22,0,44,5,44,9,44,1,44,3,44,3,44,0,44,1,44,0,44,0
2004-01-01,Georgia,31,12,0,20,28,0,0,0,0,44,2,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,77,2,77,0,77,0,77,0,77,0,77,0,77,0,77,0,77,0,89,3,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,88,15,88,2,88,0,88,1,88,2,88,0,88,0,88,0,88,0
2004-02-01,Georgia,29,24,100,20,0,0,26,0,0,41,2,41,1,41,0,41,0,41,0,41,0,41,0,41,0,41,0,79,2,79,1,79,0,79,0,79,0,79,0,79,0,79,0,79,0,95,3,95,1,95,1,95,0,95,0,95,0,95,0,95,0,95,0,66,13,66,4,66,3,66,1,66,0,66,0,66,1,66,0,66,0
2004-03-01,Georgia,19,16,0,26,36,0,66,0,0,45,1,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,79,1,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,100,2,100,1,100,0,100,0,100,1,100,0,100,1,100,0,100,0,74,9,74,3,74,0,74,1,74,3,74,0,74,3,74,0,74,0
2004-04-01,Georgia,32,18,34,0,14,0,0,100,0,43,2,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,81,2,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,89,3,89,1,89,0,89,0,89,0,89,0,89,0,89,0,89,0,79,15,79,3,79,1,79,0,79,1,79,0,79,0,79,1,79,0
2004-05-01,Georgia,19,0,31,19,13,0,24,0,0,39,1,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,74,1,74,0,74,0,74,0,74,0,74,0,74,0,74,0,74,0,77,2,77,0,77,0,77,0,77,0,77,0,77,0,77,0,77,0,78,9,78,0,78,1,78,1,78,1,78,0,78,1,78,0,78,0
2004-06-01,Georgia,10,0,0,37,26,0,0,0,0,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,81,1,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,1,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,63,4,63,0,63,0,63,2,63,2,63,0,63,0,63,0,63,0
2004-07-01,Georgia,6,0,0,20,55,0,0,0,0,43,0,43,0,43,0,43,0,43,1,43,0,43,0,43,0,43,0,73,0,73,0,73,0,73,0,73,1,73,0,73,0,73,0,73,0,82,1,82,0,82,0,82,0,82,1,82,0,82,0,82,0,82,0,75,3,75,0,75,0,75,1,75,4,75,0,75,0,75,0,75,0
2004-08-01,Georgia,9,0,0,34,47,0,86,0,0,43,1,43,0,43,0,43,0,43,0,43,0,43,1,43,0,43,0,77,1,77,0,77,0,77,0,77,1,77,0,77,1,77,0,77,0,95,1,95,0,95,0,95,0,95,1,95,0,95,1,95,0,95,0,61,4,61,0,61,0,61,2,61,3,61,0,61,4,61,0,61,0
2004-09-01,Georgia,13,0,0,32,22,0,20,0,47,41,1,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,81,1,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,91,1,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,69,6,69,0,69,0,69,2,69,2,69,0,69,1,69,0,69,1
2004-10-01,Georgia,19,10,0,51,0,0,0,0,100,44,1,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,82,1,82,0,82,0,82,0,82,0,82,0,82,0,82,0,82,0,85,2,85,0,85,0,85,1,85,0,85,0,85,0,85,0,85,0,100,9,100,2,100,0,100,2,100,0,100,0,100,0,100,0,100,2
2004-11-01,Georgia,22,5,58,52,37,0,0,0,0,38,1,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,75,2,75,0,75,0,75,0,75,0,75,0,75,0,75,0,75,0,86,2,86,0,86,0,86,1,86,1,86,0,86,0,86,0,86,0,94,10,94,1,94,2,94,3,94,3,94,0,94,0,94,0,94,0
2004-12-01,Georgia,20,5,0,32,11,0,40,77,47,37,1,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,62,1,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,58,2,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,80,9,80,1,80,0,80,2,80,1,80,0,80,2,80,1,80,1
2005-01-01,Georgia,21,4,0,27,19,0,17,0,41,45,1,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,87,2,87,0,87,0,87,0,87,0,87,0,87,0,87,0,87,0,86,2,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,62,10,62,1,62,0,62,1,62,1,62,0,62,1,62,0,62,1
2005-02-01,Georgia,17,8,23,14,29,0,18,0,0,43,1,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,80,1,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,90,2,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,86,8,86,1,86,1,86,1,86,2,86,0,86,1,86,0,86,0
2005-03-01,Georgia,14,25,60,36,8,0,31,0,36,40,1,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,74,1,74,1,74,0,74,0,74,0,74,0,74,0,74,0,74,0,88,1,88,1,88,0,88,0,88,0,88,0,88,0,88,0,88,0,79,6,79,4,79,2,79,2,79,1,79,0,79,1,79,0,79,1
2005-04-01,Georgia,32,0,23,56,39,0,35,68,41,40,2,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,75,2,75,0,75,0,75,0,75,0,75,0,75,0,75,0,75,0,89,3,89,0,89,0,89,1,89,1,89,0,89,0,89,0,89,0,71,15,71,0,71,1,71,3,71,3,71,0,71,1,71,1,71,1
2005-05-01,Georgia,19,11,21,37,52,0,0,0,0,38,1,38,0,38,0,38,0,38,1,38,0,38,0,38,0,38,0,72,1,72,0,72,0,72,0,72,1,72,0,72,0,72,0,72,0,80,2,80,0,80,0,80,0,80,1,80,0,80,0,80,0,80,0,76,9,76,2,76,1,76,2,76,4,76,0,76,0,76,0,76,0
2005-06-01,Georgia,18,11,0,25,0,0,0,0,37,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,80,1,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,76,2,76,0,76,0,76,0,76,0,76,0,76,0,76,0,76,0,62,8,62,2,62,0,62,1,62,0,62,0,62,0,62,0,62,1
